 order    A_T    A_dist    dist    cw_ccw    delay1    delay2  
 2    244    254    10    cw    1    3.0  
 1    296    278    18    ccw    1    1.75  
 2    90    108    18    cw    1    3.0  
 2    296    310    14    cw    1    3.0  
 1    42    17    25    ccw    1    1.75  
 2    342    354    12    cw    1    3.0  
 2    238    210    28    ccw    1    3.0  
 2    78    58    20    ccw    1    3.0  
 2    17    30    13    cw    1    3.0  
 2    88    76    12    ccw    1    3.0  
 1    67    42    25    ccw    1    1.75  
 2    332    311    21    ccw    1    3.0  
 2    220    243    23    cw    1    3.0  
 1    102    84    18    ccw    1    1.75  
 2    251    272    21    cw    1    3.0  
 1    330    352    22    cw    1    1.75  
 2    285    267    18    ccw    1    3.0  
 1    84    66    18    ccw    1    1.75  
 1    307    280    27    ccw    1    1.75  
 2    95    118    23    cw    1    3.0  
 2    340    328    12    ccw    1    3.0  
 2    259    284    25    cw    1    3.0  
 2    237    208    29    ccw    1    3.0  
 1    328    305    23    ccw    1    1.75  
 2    210    229    19    cw    1    3.0  
 2    254    235    19    ccw    1    3.0  
 1    344    2    18    cw    1    1.75  
 2    172    197    25    cw    1    3.0  
 2    9    342    27    ccw    1    3.0  
 2    92    79    13    ccw    1    3.0  
 2    256    243    13    ccw    1    3.0  
 1    297    316    19    cw    1    1.75  
 1    298    277    21    ccw    1    1.75  
 1    285    264    21    ccw    1    1.75  
 1    281    261    20    ccw    1    1.75  
 1    229    217    12    ccw    1    1.75  
 2    219    193    26    ccw    1    3.0  
 1    60    50    10    ccw    1    1.75  
 2    259    279    20    cw    1    3.0  
 1    351    17    26    cw    1    1.75  
 2    150    172    22    cw    1    3.0  
 1    7    354    13    ccw    1    1.75  
 1    208    196    12    ccw    1    1.75  
 2    290    275    15    ccw    1    3.0  
 1    99    87    12    ccw    1    1.75  
 1    320    291    29    ccw    1    1.75  
 1    274    287    13    cw    1    1.75  
 1    186    201    15    cw    1    1.75  
 2    159    172    13    cw    1    3.0  
 2    101    80    21    ccw    1    3.0  
 1    335    310    25    ccw    1    1.75  
 1    55    69    14    cw    1    1.75  
 2    137    119    18    ccw    1    3.0  
 2    247    233    14    ccw    1    3.0  
 1    293    264    29    ccw    1    1.75  
 2    186    207    21    cw    1    3.0  
 1    342    328    14    ccw    1    1.75  
 2    334    359    25    cw    1    3.0  
 2    93    118    25    cw    1    3.0  
 2    120    95    25    ccw    1    3.0  
 2    162    183    21    cw    1    3.0  
 2    177    159    18    ccw    1    3.0  
 1    243    267    24    cw    1    1.75  
 2    356    332    24    ccw    1    3.0  
 2    146    121    25    ccw    1    3.0  
 1    137    117    20    ccw    1    1.75  
 1    50    62    12    cw    1    1.75  
 1    191    209    18    cw    1    1.75  
 2    157    185    28    cw    1    3.0  
 1    319    342    23    cw    1    1.75  
 2    55    32    23    ccw    1    3.0  
 2    281    291    10    cw    1    3.0  
 1    196    206    10    cw    1    1.75  
 2    308    285    23    ccw    1    3.0  
 1    220    200    20    ccw    1    1.75  
 2    278    266    12    ccw    1    3.0  
 2    40    52    12    cw    1    3.0  
 2    122    137    15    cw    1    3.0  
 1    104    122    18    cw    1    1.75  
 2    279    255    24    ccw    1    3.0  
 1    260    248    12    ccw    1    1.75  
 1    341    315    26    ccw    1    1.75  
 1    324    337    13    cw    1    1.75  
 1    45    66    21    cw    1    1.75  
 1    9    33    24    cw    1    1.75  
 1    313    327    14    cw    1    1.75  
 1    21    41    20    cw    1    1.75  
 2    42    28    14    ccw    1    3.0  
 2    47    64    17    cw    1    3.0  
 2    309    329    20    cw    1    3.0  
 2    220    210    10    ccw    1    3.0  
 2    209    190    19    ccw    1    3.0  
 2    15    356    19    ccw    1    3.0  
 1    173    193    20    cw    1    1.75  
 2    279    256    23    ccw    1    3.0  
 1    316    337    21    cw    1    1.75  
 2    322    301    21    ccw    1    3.0  
 2    14    355    19    ccw    1    3.0  
 1    51    30    21    ccw    1    1.75  
 1    191    163    28    ccw    1    1.75  
 1    257    235    22    ccw    1    1.75  
 2    284    259    25    ccw    1    3.0  
 1    32    19    13    ccw    1    1.75  
 2    114    102    12    ccw    1    3.0  
 2    86    66    20    ccw    1    3.0  
 1    312    324    12    cw    1    1.75  
 1    78    105    27    cw    1    1.75  
 1    307    284    23    ccw    1    1.75  
 1    30    55    25    cw    1    1.75  
 1    198    174    24    ccw    1    1.75  
 2    158    184    26    cw    1    3.0  
 2    221    239    18    cw    1    3.0  
 1    42    63    21    cw    1    1.75  
 2    12    2    10    ccw    1    3.0  
 1    92    73    19    ccw    1    1.75  
 2    109    133    24    cw    1    3.0  
 1    146    129    17    ccw    1    1.75  
 1    190    202    12    cw    1    1.75  
 1    112    84    28    ccw    1    1.75  
 1    23    13    10    ccw    1    1.75  
 1    322    306    16    ccw    1    1.75  
 1    117    93    24    ccw    1    1.75  
 2    236    255    19    cw    1    3.0  
 2    274    256    18    ccw    1    3.0  
 1    263    279    16    cw    1    1.75  
 1    176    158    18    ccw    1    1.75  
 1    211    190    21    ccw    1    1.75  
 2    307    326    19    cw    1    3.0  
 2    300    320    20    cw    1    3.0  
 2    311    332    21    cw    1    3.0  
 1    46    74    28    cw    1    1.75  
 2    160    187    27    cw    1    3.0  
 1    359    336    23    ccw    1    1.75  
 1    359    344    15    ccw    1    1.75  
 1    179    198    19    cw    1    1.75  
 1    228    209    19    ccw    1    1.75  
 1    241    253    12    cw    1    1.75  
 2    309    333    24    cw    1    3.0  
 1    71    92    21    cw    1    1.75  
 1    349    14    25    cw    1    1.75  
 2    165    149    16    ccw    1    3.0  
 2    167    185    18    cw    1    3.0  
 2    89    67    22    ccw    1    3.0  
 1    315    301    14    ccw    1    1.75  
 1    153    182    29    cw    1    1.75  
 2    33    45    12    cw    1    3.0  
 2    27    56    29    cw    1    3.0  
 1    35    63    28    cw    1    1.75  
 1    334    344    10    cw    1    1.75  
 2    295    324    29    cw    1    3.0  
 1    263    280    17    cw    1    1.75  
 1    232    251    19    cw    1    1.75  
 2    104    132    28    cw    1    3.0  
 1    207    230    23    cw    1    1.75  
 1    144    123    21    ccw    1    1.75  
 1    93    112    19    cw    1    1.75  
 1    29    54    25    cw    1    1.75  
 2    122    145    23    cw    1    3.0  
 1    276    296    20    cw    1    1.75  
 2    193    205    12    cw    1    3.0  
 2    97    76    21    ccw    1    3.0  
 1    238    267    29    cw    1    1.75  
 2    203    186    17    ccw    1    3.0  
 2    305    280    25    ccw    1    3.0  
 1    318    343    25    cw    1    1.75  
 1    34    55    21    cw    1    1.75  
 2    125    146    21    cw    1    3.0  
 2    159    173    14    cw    1    3.0  
 2    229    209    20    ccw    1    3.0  
 2    310    329    19    cw    1    3.0  
 2    112    91    21    ccw    1    3.0  
 2    203    175    28    ccw    1    3.0  
 2    15    33    18    cw    1    3.0  
 1    29    4    25    ccw    1    1.75  
 2    227    198    29    ccw    1    3.0  
 1    324    347    23    cw    1    1.75  
 1    154    135    19    ccw    1    1.75  
 1    134    152    18    cw    1    1.75  
 2    196    212    16    cw    1    3.0  
 1    11    352    19    ccw    1    1.75  
